id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
613,Luupuveden koulu,"Salahmitie 1109, 74840 Koppeloharju, Finland","Salahmintie 1109, FI-74700 Kiuruvesi, Finland",address,63.7393599,26.7160727,kosteus- ja homeongelma,Kyllä,Toinen koulurakennus on käyttökiellossa ja uusi rakennus on tilattu. Saapuu ensi syksyksi.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2015,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,"Kaupungin poliitikkojen Mietintäaika ja prosessin hitaus.  Lopulta kuitenkin kaikki hyvin. Myös se on huolestuttavaa, että useana vuonna on korjattu pikkuisen päältäpäin, mutta todelliseen ongelmaan ei ole pureuduttu. ",1900,55
614,Lakarin koulu,"Postimiehentie 1, 93100 Pudasjärvi, Finland","Postimiehentie 1, FI-93100 Pudasjärvi, Finland",address,65.36946,27.0037,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"Rakennuksia on kolme v.1884, käsityötalo, jossa kaksi oppilasta reagoi sisäilmaan tekstiililuokan puolella.<br />v. 1929 rakennettu rakennus, <br />v. 1994 rakennettu päärakennus, jossa ei ole ollut sisäilma-, kosteus-, eikä homeongelmia",Sisäilmanlaadun tutkimuksilla,Tutkittiin hiukkaslaskeuma,2015,En osaa sanoa,Kyllä,Kyllä,0 – 10 000 €,Ei,Ilmastointikanavien huolto ja suodattimien vaihto,1994,190
615,Kirkonkylän koulu,"Rautialantie 77, 37470 Vesilahti","Rautialantie 77, FI-37470 Vesilahti, Finland",address,61.30154,23.62656,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,Remontti on loppusuoralla.,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2013,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,,1953,297
616,Harjulan koulu,"Verkkotie 12, 04400 Järvenpää","Verkkotie 12, FI-04400 Järvenpää, Finland",address,60.47321,25.07585,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,,Sisäilmanlaadun tutkimuksilla,,2008,Kyllä,Kyllä,Ei,0 – 10 000 €,Ei,,1931,231
617,Lahnaniemen koulu,"Lahnaniementie 67, 52510 Hietanen","Lahnaniementie 67, FI-52510 Hirvensalmi, Finland",address,61.56616,26.98025,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Sisäilmanlaadun tutkimuksilla,,,,,,,,,1964,23
618,Kyröskosken koulu,"Koulukatu 26, 39200 Kyröskoski, Finland","Koulukatu 26, FI-39200 Hämeenkyrö, Finland",address,61.66648,23.17697,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"Yksi saneeraamaton kellaritila ilmeisesti vaikuttaa haitallisesti osaan kiinteistön sisäilmaa. Alakäytävällä ilmeisesti rakenteellista kosteutta maanvaraisessa seinässä - aiheuttanut "" kopoa "" saneerauksen jälkeen.<br />Korjauksen aloittamista odotetaan kesällä 2016.",Muulla kuntoarviolla,"Seinästä otettu kosteusmittaus, kellaritilan ongelmaa arvioitu aistinvaraisesti ja ilmastointitarvetta arvioiden.",2012,Ei,Ei,Ei,0 – 10 000 €,Ei,Tutkimustuloksia saa odottaa kauan.,1951,257
619,Nummelan koulu,"Väinämöisentie 9, 03100 Nummela","Väinämöisentie 9, FI-03100 Vihti, Finland",address,60.33358,24.3112299,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",En osaa sanoa,"Koulumme on saneerattu kahdessa vaiheessa: tiivistetty puoli 2013 ( rakennusvuosi 1985) ja totaalisesti peruskorjattu puoli2015 (rakennettu 1968).<br />Kunnan tilapuoli seuraa jatkuvasti mm. ilmanvaihdon riittävyyttä, ja muutenkin ovat valppaina.<br />",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Tutkittu rakenteita ja teetetty sisäilmanlaadun tutkimuksia.<br /><br />Itse olen aloittanut koulussa rehtorina syksystä 2013, enkä tiedä/ osaa tähän kaikkia yksityiskohtia laittaa.<br /><br />Tekniset kysymykset olisi hyvä esittää rakennustekniselle puolelle.",2012,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Kyllä,"Merkittävä osa koulun henkilökunnasta vaihtoi työpaikkaa, ja rekrytointi tuonut omat haasteensa.<br /><br />Jouduttiin odottamaan kunnan päätöksiä toisen osan purkamisesta tai saneerauksesta.",1968,520
620,Suvilahden koulu,"Teirinkatu 2, 65350 Vaasa","Teirinkatu 2, FI-65350 Vaasa, Finland",address,63.07811,21.65023,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",En osaa sanoa,"Keväällä ja syksyllä etelän puoleiset luokat ovat tukahduttavan kuumia.  Luokkatiloihin on määritelty ns. riittävä ilmanvaihdon luku /lk, mutta todellisuudessa keväisin ja syksyisin se ei ole riittävä. Ilmanvaihdon tehoa on nostettu marraskuussa 2015 ja vasta keväällä saamme tietää onko nosto ollut riittävä.",Sisäilmanlaadun tutkimuksilla,Luokkahuoneiden tulo ja menoilma on mitattu. Ilmastoinnin lämmön talteenottolaitteet on uusittu. Ilmanvaihtokanavat on puhdistettu.,,En osaa sanoa,Ei,Ei,10 000 – 100 000 €,En osaa sanoa,Kaikki toimenpiteet tapahtuvat hyvin hitaasti ja ovat pitkissä kantamissa. Täytyy itse olla aktiivinen asian suhteen.<br /><br />Olen itse tilannut koululle työsuojelun kautta kolmeen luokkahuoneeseen ilmanpuhdistimet. Näissä luokissa on joko huoltajilta tullut kyselyä ilmanvaihdon riittävyydestä tai opettaja on valittanut riittämättömästä ilmasta.,1979,250
621,"Lieksan Keskuskoulu, alakoulu","Koulukatu 16, 81700 Lieksa, Finland","Koulukatu 16, FI-81700 Lieksa, Finland",address,63.31993,30.0277,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,"Koulurakennuksia kolme, rakennusvuodet:<br /><br />1937<br />1957<br />1963",Rakennuksen kuntotutkimuksella,,,,,,,,,1957,300
622,Varilan koulu,"Kontionkatu 1, 38200 Sastamala","Kontionkatu 1, FI-38200 Sastamala, Finland",address,61.3267424,22.939948,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,,Rakennuksen kuntotutkimuksella,,2007,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,,1957,268
623,Hauhon Yhtenäiskoulu,"Tanhuantie 2, 14700 Hauho","Tanhuantie 2, FI-14700 Hämeenlinna, Finland",address,61.16787,24.57616,kosteus- ja homeongelma,Kyllä,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2014,Kyllä,Kyllä,Kyllä,Rahaa ei ole käytetty,En osaa sanoa,,1969,226
624,Härkävehmaan koulu,"Aleksis Kiven katu 6, 05800 Hyvinkää, Finland","Aleksis Kiven katu 6, FI-05900 Hyvinkää, Finland",address,60.63397,24.8367,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,Varmaa syytä yli 15 v kestäneisiin oireisiin ei ole. Yksi opettaja on sijoitettu toiseen kouluun sisäilmaoireiden takia.,Ei millään em. tavalla,Syytä oirehtimiseen ei ole löydetty tutkimuksista huolimatta (kosteutta tosin löydetty muovimaton alta kahdesta eri paikkaa koulusta. Lattiat on kuivatettu ja laitettu uudet muovimatot päälle.,2004,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,Koulun muuttoa toiseen kouluun suunniteltu 10 vuotta,1961,350
625,Vähärauman koulu,"Vähäraumantie 91, 28600  PORI","Vähäraumantie 91, FI-28600 Pori, Finland",address,61.4844143,21.7211523,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"1929, 1983, 1992",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2012,Ei,Kyllä,Ei,10 000 – 100 000 €,Ei,,1983,502
626,Matomäen koulu,"Matomäentie 136, 29270 Hormisto","Matomäentie 136, FI-29270 Nakkila, Finland",address,61.31153,21.97454,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,Ilmanvaihtoa parannettu.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2015,Kyllä,Kyllä,Ei,0 – 10 000 €,,,1956,40
627,Englantilainen koulu,"Mäntytie 14, 00270 Helsinki, Finland","Mäntytie 14, FI-00270 Helsinki, Finland",address,60.19358,24.89582,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,En osaa sanoa,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1952,463
628,Itä-Porin yhtenäiskoulu,Kouvonraitti 7 28360 Pori,"Kouvonraitti 7, FI-28370 Pori, Finland",address,61.46762,21.83914,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,Rakennuksen viat ovat aiheuttaneet ongelmia vuosia. Virallisesti syy ja ongelmat selvisivät kuntokartoituksessa 2015.,2015,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,En osaa sanoa,,1980,376
629,Reijolan koulu,"Tiedonpolku 3, 80330 Reijola","Tiedonpolku 3, FI-80330 Joensuu, Finland",address,62.5444,29.83561,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"1957 valmistunut puukoulu päätetty juuri poistaa käytöstä löytyneiden kosteusvaurioiden takia, rakenteissa myös kuivalahoa.<br /><br />1980 ja 2006 valmistuneen tiilikoulun osalta asia vaiheessa, ongelmia kartoitetaan.",Muulla kuntoarviolla,,1990,Kyllä,Kyllä,Kyllä,,En osaa sanoa,"Asiat etenevät hitaasti, kun mitään ei havaita aistinvaraisesti, rakenteita ei ole avattu aiempina vuosina.<br />Vuosien varrella on tehty useita korjauksia eri pisteissä.",1957,220
630,Ylihärmän yläkoulu,"Päämajantie 18, 62375 Ylihärmä","Päämajantie 18, FI-62375 Kauhava, Finland",address,63.14396,22.79733,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1975,117
631,Haimoon koulu,"Haimoontie 378, 03400 Vihti, Finland","Haimoontie 378, FI-03400 Vihti, Finland",address,60.46514,24.49267,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,2014,105
632,Maskun Hemmingin koulu,"Seppäläntie 10, 21250 Masku","Seppäläntie 10, FI-21250 Masku, Finland",address,60.57089,22.10877,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Ei millään em. tavalla,,,,,,,,,1999,433
633,Teijon koulu,"Teijontie 100, 25570 TEIJO","Teijontie 100, FI-25570 Salo, Finland",address,60.251,22.95647,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Muulla kuntoarviolla,,,,,,,,,1913,30
634,Länsi-Porin koulu,"Aatuntie 6, Pori 28600","Aatuntie 6, FI-28600 Pori, Finland",address,61.48754,21.7408499,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Ei millään em. tavalla,,,,,,,,,1972,387
635,Tupurin koulu,"Taimistokatu 1, 24280 Salo, Finland","Taimistokatu, FI-24280 Salo, Finland",street,60.40379,23.17185,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1994,412
636,Eteläisten koulu,"Hauhontie 1585, 14770 Eteläinen, Finland","Hauhontie 1585, FI-14770 Hämeenlinna, Finland",address,61.07283,24.68366,kosteus- ja homeongelma,En osaa sanoa,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,,1950,107
637,Kalaholman koulu,"Lukkarinsannantie 15, 28300 Pori","Lukkarinsannantie 15, FI-28300 Pori, Finland",address,61.48651,21.84675,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei,-,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1937,186
638,Hakastaron koulu,"Hakastaronkatu 6, 24130 Salo","Hakastaronkatu 6, FI-24130 Salo, Finland",address,60.37397,23.13102,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,,Muulla kuntoarviolla,teknisen osaston tutkimukset kesken,2015,Ei,Kyllä,Ei,Rahaa ei ole käytetty,Ei,,1998,48
639,Pielisjoen koulu,"Pappilantie 2, 80260 Joensuu, Finland","Pappilantie 2, FI-80260 Joensuu, Finland",address,62.60395,29.79628,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Sisäilmanlaadun tutkimuksilla,Kuntokatselmuksia.,,,,,,,,1964,410
640,Nilsbyn koulu,"Lielahdentie 244, 21610 Kirjala","Lielahdentie 244, FI-21610 Parainen, Finland",address,60.32679,22.39743,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"Hajuhaitta. (viemärihaju), (Uusi koulu)<br /><br />Sisäilma (hiilidioksiditasot liian korkeat) (Pikku koulu rv. 1950), (ilmanvaihtokoneisto ja -putkisto uusittu 2014)",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Sisäilma on mitattu pariin otteeseen viimeisten kahden vuoden aikana, eikä merkittäviä poikkeamia ole löytynyt. Hajuhaitta muodostui ilmavuodon kautta, joka tukittiin ja hajuahaitta saatiin poistettua.",,,,,,,,2003,92
641,Tiilimäen koulu,"Sairaalantie 3, 28500 Pori","Sairaalantie 3, FI-28500 Pori, Finland",address,61.47364,21.7777299,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,Terveydellisten olojen tarkastus tehty 10.4.2015.,,,,,,,,2007,15
642,Sääksjärven koulu,"Sääksjärventie 526, 04630 Sääksjärvi","Sääksjärventie 526, FI-04630 Mäntsälä, Finland",address,60.59279,25.41224,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"Osa koulun tiloista on pakkasella kylmiä. Tietääkseni kosteus- ja homemittauksia ei ole tehty.<br />Koulussa on kolme rakennusta, vanhin on rakennettu 1892 (ilmeisesti), toinen 1950-luvulla ja kolmas 2004.",Muulla kuntoarviolla,Seurattu lämpötiloja.,,En osaa sanoa,En osaa sanoa,Ei,Rahaa ei ole käytetty,Ei,,1892,85
643,Niinistön koulu,"Hiostenmäentie 1, 45360 Valkeala","Hiostenmäentie 1, FI-45360 Kouvola, Finland",address,60.919537,26.77582,kosteus- ja homeongelma,Ei,,Sisäilmanlaadun tutkimuksilla,,2011,Ei,Kyllä,Ei,0 – 10 000 €,Ei,,1989,200
644,Kuusjoen koulu,"Ylikulmantie 317 b, 25330 Kuusjoki","Ylikulmantie 317b, FI-25330 Salo, Finland",address,60.52515,23.2328,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,Rakennus on valmistunut loppuvuonna 2009. Käyttöönottotarkastukset ym. tehty. Toiminta aloitettu rakennuksessa vuoden 2010 alusta.,,,,,,,,2009,115
645,Meri-Halikon koulu,"Kokkilantie 764, 25230 Angelniemi","Kokkilantie 764, FI-25230 Salo, Finland",address,60.3276635,22.9420972,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,Koulun alkuperäiset tilat vuodelta 1884 ja 1950.,Ei millään em. tavalla,"Kukaan ei ole ainakaan valittanut esim. terveydellisistä oireista/ongelmista, joten ei ole tullut vastaan tilannetta, jossa asiaa pitäisi selvittää ja tutkia.",,,,,,,,1884,84
646,Raumankarin koulu,"Leipämäentie 8, 68100 Himanka","Leipämäentie 8, FI-68100 Kalajoki, Finland",address,64.06494,23.66135,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,Vanha puoli rakennettu 1969 ja saneerattu 2003 - 2005<br /><br />Uusi puoli rakennettu 2005<br /><br />Pienluokan tila rakennettu 1987,Sisäilmanlaadun tutkimuksilla,Lakisääteiset tarkastukset toki tehtynä.,,,,,,,,1969,324
647,Nivan koulu,"Soinintie 2, 74700 Kiuruvesi","Soinintie 2, FI-74700 Kiuruvesi, Finland",address,63.65531,26.6110599,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",En osaa sanoa,"Suunnitelman mukaiset korjaukset on tehty, mutta vielä ei ole täyttä varmuutta lopputuloksesta.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,- kunto- ja sisäilmatutkimukset on tehty ennen remonttia<br />- seuraava sisäilmatutkimus tehdään talvella 2016 - 2017,2005,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,Ei,- aiempina vuosina ei ole pystytty yksiselitteisesti määrittelemään mistä ongelmat johtuvat<br />- tehdyt toimenpiteet ovat olleet aiempina vuosina riittämättömät<br />- ongelman laajuutta ei ole aluksi tiedostettu,1958,447
648,Kontion koulu,"Kontionkatu 2, 88900 Kuhmo","Kontionkatu 2, FI-88900 Kuhmo, Finland",address,64.12944,29.51828,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"Uuden koulun rakentaminen alkaa piakkoin, ja tavoite on, että uuteen kouluun päästään syyslukukauden 2017 alussa.<br /><br />Vanhoja rakennuksia on kaksi. Toinen on rakennettu 1950 -luvulla ja toinen 1970 -luvulla.<br />Koulun oppilasmäärä n. 400.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2006,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,Ei,"Aluksi tarvittiin tutkimuksia, että ongelman laajuus selvisi.<br />Kuntotutkimuksen perusteella kaupunki totesi, ettei nykyisiä rakennuksia ole järkevää korjata vaan päätyi uudisrakentamiseen.",1950,400
649,Virtasalmen koulu,"Koulutie 12, 77330 Virtasalmi","Koulutie 12, FI-77330 Pieksämäki, Finland",address,62.13234,27.45584,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei,Rakennus:<br /> 1) 1890-luvulla<br />2) ja 3)1957<br />3) liikuntasali ja ruokala 1990,Muulla kuntoarviolla,,,,Ei,Ei,Rahaa ei ole käytetty,Ei,,1957,62
650,Hutsin koulu,"Hutsintie 4, 82500 Kitee","Hutsintie 4, FI-82500 Kitee, Finland",address,62.09009,30.15096,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"Sisäilmatutkimuksessa 2014 havaittiin mikrobistoa, mikä viittasi mikrobilähteisiin rakennuksessa ja mikrobiston kulkeutumiseen sisäilmaan.",Sisäilmanlaadun tutkimuksilla," 2014 kesällä rakennusvaipan tiiveyttä parannettu tiivistyskorjauksilla, jotka kohdistuivat ikkunakarmien ja ulkoseinien sekä alapohjan ja ulkoseinien välisiin liitosrakenteisiin. Sisäilmatutkimukset 2015 Andersen 6 vaiheimpaktori mittalaitteella.",2014,En osaa sanoa,En osaa sanoa,Ei,10 000 – 100 000 €,En osaa sanoa,Ei ole ollut esteitä.,1987,128
651,Pohjan koulu,"Iso-Maijalantie 31, 36840 Pohja","Iso-Maijalantie 31, FI-36840 Kangasala, Finland",address,61.47767,24.69392,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"Ilmastointilaitteet kyllä hankittu luokkiin, mutta remonttia vasta mietitään. Sisäkatossa ullakolla kosteusongelma ja kellarissa.",Rakennuksen kuntotutkimuksella,,2013,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,Raha ja kouluverkkoselvitys,1952,59
652,Hajalan koulu,"Turuntie 896, Salo, Finland","Vanha Turuntie 896, FI-25240 Salo, Finland",address,60.41693,22.94844,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei,Rakennukset 1909 ja 1926,Muulla kuntoarviolla,,,,,,,,,1909,44
653,Purmojärven koulu,"Purmojärventie 739. 62470 Purmojärvi, Finland","Purmojärventie 739, FI-62470 Kauhava, Finland",address,63.27536,23.2868299,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1995,34
654,Puhoksen koulu,"Kartanontie 5, 82430 Puhos","Kartanontie 5, FI-82430 Kitee, Finland",address,62.09035,29.88455,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,"Nyt kovista pakkasista johtuen koulun alakerran käytävässä ja siivooja-keittäjän sosiaalitilassa ilmanvaihtoon liittyvä hajuhaittaongelma. Kaupungin tekninen puoli tietoinen ja korjausta ilmanvaihtoon on tulossa. Ongelma paikallinen; koulun muut tilat 2 ylemmässä kerroksessa ovat hyvässä kunnossa.<br />Vakavampia sisäilmaongelmia ei ole esiintynyt, joten ainakaan tässä vaiheessa ei ole aihetta vastata kohtiin 3-8.",Ei millään em. tavalla,Aistinvarainen havainto.,,,,,,,,1955,95
655,Tampereen kristillinen koulu.,"Ketarantie 4 E, 33680 Tampere","Ketarantie 4E, FI-33680 Tampere, Finland",address,61.53429,23.93615,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,Ilmanvaihto oli kovilla pakkasilla liian suurella ja korvausilman saaminen aiheutti ongelmia. Säädöt tarkistettiin ja nyt on taas ilmanvaihto kunnossa.,Muulla kuntoarviolla,Sekä kaupungin terveydellisten olojen tarkastuksessa että työterveyshuollon tarkastuksessa on sisäilma todettu hyväksi. Oppilaat tai henkilökunta eivät ole oireilleet sisäilman takia.,2015,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,,1962,206
656,Kaivolan koulu,Passintie 6 25360 Pertteli,"Passintie 6, FI-25360 Salo, Finland",address,60.45062,23.24274,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"Vanhaa ilmanvaihtolaitetta ja kanavia saneerattu, lattiasta otettu kosteusnäytteitä ja salaojitus ja sadevesikaivot ja lattiakaivoja tarkistettu. Kuitu- ja pölypitoisuusnäytteitä otettu. Henkilöstöllä ei havaittu enää oireita toimien jälkeen.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2011,Ei,Kyllä,Ei,0 – 10 000 €,Ei,,1984,119
657,Herttuan koulu,Kuninkaanhaanaukio 4 28130 Pori,"Kuninkaanhaanaukio 4, FI-28130 Pori, Finland",address,61.47806,21.81338,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,,Muulla kuntoarviolla,,2015,Kyllä,Kyllä,Kyllä,0 – 10 000 €,En osaa sanoa,,1975,310
658,Hirvasen koulu,"Pirttilammintie 2, 41290 KANGASHÄKKI","Pirttilammintie 2, FI-41290 Uurainen, Finland",address,62.50514,25.6849,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Ei,"Kaikkia mahdollisia ongelmia on ollut viime vuosina. Ongelmiin on tartuttu kiitettävän aktiivisesti ja isoja korjauksia on toteutettu lähes joka vuosi.<br /><br />Rakennukset valmistuneet: 1961, 2002, 2005, 2010",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Eri ongelmakohtia selvitetty vähän eri keinoin, mutta kaikkia noita on ollut käytössä.",2007,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,Ei,"Joihinkin ongelmiin ei ole löytynyt selkeää aiheuttajaa, korjauksia on tehty osittain varmuuden vuoksi, siksi lopputuloskaan ei ole ollut aina paras mahdollinen.",1961,128
659,Keuruun yhteiskoulun yläkoulu,"Jussi Rainion tie 5, 42700, Finland","Jussi Rainion tie 5, FI-42700 Keuruu, Finland",address,62.26174,24.7011,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",Kyllä,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,1990,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,"Varsinaista syytä ei ole löytynyt, mutta ihmiset oireilevat. Useita kohtia koulusta on korjattu, osa on tullut kuntoon. ",1961,275
660,Tikkalan koulu,"Saukkolahdentie 16, 41860, Finland","Saukkolahdentie 16, FI-41860 Jyvaskyla, Finland",address,62.15098,25.4740499,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,,Muulla kuntoarviolla,Koulu valmistunut 2006 ja ongelmia ei ole havaittu. Ilmastointilaitteiden säännöllinen huolto. Ei tietääkseni ole ollut tarvetta tehdä erillistä ilmanlaadun tutkimusta.,,,,,,,,2006,40
661,Huovinrinteen koulu,"Koulutie 5, 27800 Säkylä","Koulutie 5, FI-27800 Säkylä, Finland",address,61.03758,22.40411,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,Ei ole ollut ongelmaa,"Koulu rakennettu v. 1965, mutta peruskorjattu täydellisesti v. 1998.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1965,97
